Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.107-172.217.19.195-57170-443-6,192.168.1.107,57170,172.217.19.195,443,6,03/12/2023 09:36:12 AM,111283,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.958295516835452,55641.5,78647.95173747375,111254.0,29.0,111283.0,111283.0,0.0,111283.0,111283.0,0,0,0,0,0,0,0,0,0,60,40,17.972197011223635,8.986098505611817,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-172.217.19.195-57192-443-6,192.168.1.107,57192,172.217.19.195,443,6,03/12/2023 09:36:12 AM,127873,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.460777490166027,63936.5,90377.43902379619,127843.0,30.0,127873.0,127873.0,0.0,127873.0,127873.0,0,0,0,0,0,0,0,0,0,60,40,15.64051832677735,7.820259163388675,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-172.217.19.195-57202-443-6,192.168.1.107,57202,172.217.19.195,443,6,03/12/2023 09:36:12 AM,127363,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.554721543933482,63681.5,90045.09883663853,127353.0,10.0,127363.0,127363.0,0.0,127363.0,127363.0,0,0,0,0,0,0,0,0,0,60,40,15.703147695955654,7.851573847977827,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-172.217.19.195-57178-443-6,192.168.1.107,57178,172.217.19.195,443,6,03/12/2023 09:36:12 AM,129020,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25220895985119,64510.0,91213.94634593988,129008.0,12.0,129020.0,129020.0,0.0,129020.0,129020.0,0,0,0,0,0,0,0,0,0,60,40,15.501472639900792,7.750736319950396,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-196.189.186.26-37516-443-6,192.168.1.107,37516,196.189.186.26,443,6,03/12/2023 09:36:24 AM,311403,17,19,2312.0,30075.0,1388.0,0.0,136.00000000000006,352.2990562008363,4164.0,0.0,1582.8947368421054,1104.9491136969382,104003.49386486322,115.60582267993566,8897.228571428574,20452.41281334295,74816.0,0.0,311403.0,19462.687499999996,28374.644020601092,78097.0,16.0,237020.0,13167.777777777777,25189.658402175697,79056.0,0.0,0,0,0,0,540,616,54.59163848774739,61.01418419218826,0.0,4164.0,875.3243243243246,1099.6605803118944,1209253.391891892,1,2,1,9,34,0,0,0,1.0,899.6388888888889,136.0,1582.8947368421052,0,0,0,32387,21,139131,0,0,0,0,64240,274,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,20,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,6.94E7,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,49999.99999999999,49999.99999999999,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,0,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,33,2,1,4164.0,0.0,2776.0,1388.0,2082.0,981.4642122869279,0.0,0.0,0.0,0.0,1.2618181818181817E8,90909.0909090909,16.5,23.33452377915607,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,20,60606.0606060606,30303.0303030303,0.0,2776.0,1735.0,1328.9088255657973,1765998.6666666667,0,0,1,1,2,0,0,0,0.0,2313.3333333333335,2082.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-196.189.186.26-37516-443-6,192.168.1.107,37516,196.189.186.26,443,6,03/12/2023 09:36:25 AM,5234,2,1,0.0,1388.0,0.0,0.0,0.0,0.0,1388.0,1388.0,1388.0,0.0,265189.14787925105,573.175391669851,2617.0,3657.1562722968238,5203.0,31.0,5234.0,5234.0,0.0,5234.0,5234.0,0,0,0,0,0,0,0,0,0,40,32,382.11692777990066,191.05846388995033,0.0,1388.0,347.0,694.0,481636.0,0,0,2,0,1,0,0,0,0.0,462.6666666666667,0.0,1388.0,0,0,0,0,0,0,0,0,0,0,0,274,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,15,1,1,2776.0,0.0,2776.0,2776.0,2776.0,0.0,0.0,0.0,0.0,0.0,1.8506666666666666E8,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,66666.66666666667,66666.66666666667,0.0,2776.0,1850.6666666666665,1602.7243472704013,2568725.3333333335,0,0,1,1,1,0,0,0,1.0,2776.0,2776.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,32,1,1,2776.0,0.0,2776.0,2776.0,2776.0,0.0,0.0,0.0,0.0,0.0,8.675E7,62500.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,31250.0,31250.0,0.0,2776.0,1850.6666666666665,1602.7243472704013,2568725.3333333335,0,0,1,0,1,0,0,0,1.0,2776.0,2776.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,22,1,1,2776.0,0.0,2776.0,2776.0,2776.0,0.0,0.0,0.0,0.0,0.0,1.2618181818181819E8,90909.09090909091,22.0,0.0,22.0,22.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,45454.545454545456,45454.545454545456,0.0,2776.0,1850.6666666666665,1602.7243472704013,2568725.3333333335,0,0,1,1,1,0,0,0,1.0,2776.0,2776.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,34,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,4.08235294117647E7,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,29411.764705882353,29411.764705882353,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,0,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,17,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,8.16470588235294E7,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,58823.529411764706,58823.529411764706,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,1,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,32,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,4.3375E7,62500.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,31250.0,31250.0,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,0,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,12,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,1.1566666666666666E8,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,83333.33333333333,83333.33333333333,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,0,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
