Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-162.125.4.3-47094-443-6,131.202.242.189,47094,162.125.4.3,443,6,08/02/2018 04:27:41,113048769,70,76,37026.0,65060.0,1955.0,0.0,528.9428571428568,661.3426809263915,4425.0,0.0,856.0526315789475,1312.1945475143218,903.0261974811951,1.291478016890215,779646.6827586202,1789410.431886721,1.1719353E7,1.0,1.13048769E8,1638387.9565217397,2316415.0440043216,1.1719353E7,3.0,1.1301924E8,1506923.1999999997,2280057.8577156826,1.1748853E7,5.0,1,0,0,0,2240,2432,0.619201788919966,0.6722762279702489,0.0,4425.0,701.9387755102043,1057.833066979734,1119010.7975957505,0,1,0,0,1,0,0,0,1.0,706.7465753424658,528.9428571428572,856.0526315789474,0,0,0,0,0,0,70,37026,76,65060,1444,360,28,32,1.08590948E7,4831057.491431167,1.615319E7,4191256.0,8246406.8,3148283.1017412012,1.1719353E7,5191749.0,CIC
127.0.0.1-127.0.0.1-46376-51074-6,127.0.0.1,46376,127.0.0.1,51074,6,08/02/2018 04:29:26,15000657,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.066532352549625,0.3999824807673424,3000131.4,6708384.830422543,1.5000455E7,32.0,1.5000657E7,3000131.4,6708384.830422543,1.5000455E7,32.0,0,0,0,0,0,0,0,0,0,200,0,0.3999824807673424,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-51074-46376-6,127.0.0.1,51074,127.0.0.1,46376,6,08/02/2018 04:29:26,15000606,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399741450445402,0.5333117875371168,2142943.714285714,5653139.002968342,1.4963019E7,13.0,1.5000606E7,2142943.714285714,5653139.002968342,1.4963019E7,13.0,0,0,0,0,0,0,0,0,0,264,0,0.5333117875371168,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-13.92.27.116-40674-443-6,13.92.27.116,443,131.202.242.189,40674,6,08/02/2018 04:27:40,91038421,8,6,212.0,212.0,53.0,0.0,26.5,28.329691642716984,53.0,0.0,35.333333333333336,27.36908231319908,4.657374274977814,0.1537812260605882,7002955.461538462,1.3082776223918987E7,2.995661E7,29.0,9.1038421E7,1.3005488714285716E7,1.5851592221232148E7,2.995661E7,91755.0,9.0943363E7,1.81886726E7,1.624255345787827E7,3.0068306E7,97.0,1,0,0,0,256,192,0.08787498632033612,0.06590623974025209,0.0,53.0,31.800000000000004,26.875905300366828,722.3142857142857,0,1,0,0,1,0,0,0,0.0,34.07142857142857,26.5,35.333333333333336,0,0,0,0,0,0,8,212,6,212,513,747,3,32,365736.3333333333,473843.08858242654,912883.0,91755.0,2.994872E7,8515.62088165038,2.995661E7,2.9939693E7,CIC
127.0.0.1-127.0.0.1-46824-36268-6,127.0.0.1,46824,127.0.0.1,36268,6,08/02/2018 04:27:40,100001591,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.05999904541518744,2.00003182E7,24785.717393289648,2.0036849E7,1.996689E7,1.00001591E8,2.00003182E7,24785.717393289648,2.0036849E7,1.996689E7,0,0,0,0,0,0,0,0,0,192,0,0.05999904541518744,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,0,0,2782,-1,0,32,0,0,0,0,2.00003182E7,24785.717393289648,2.0036849E7,1.996689E7,CIC
127.0.0.1-127.0.0.1-36268-46824-6,127.0.0.1,36268,127.0.0.1,46824,6,08/02/2018 04:27:40,100001594,6,0,562.0,0.0,94.0,92.0,93.66666666666666,0.8164965809277271,0,0,0,0,5.619910418627927,0.059999043615244774,2.00003188E7,24785.330665536825,2.0036849E7,1.9966891E7,1.00001594E8,2.00003188E7,24785.330665536825,2.0036849E7,1.9966891E7,0,0,0,0,0,1,0,0,0,192,0,0.059999043615244774,0.0,92.0,94.0,93.42857142857143,0.9759000729485311,0.9523809523809482,0,1,0,0,1,0,0,0,0.0,109.0,93.66666666666667,0.0,0,0,0,0,0,0,6,562,0,0,1365,-1,5,32,0,0,0,0,2.00003188E7,24785.330665536825,2.0036849E7,1.9966891E7,CIC
131.202.242.36-131.202.243.255-17500-17500-17,131.202.242.36,17500,131.202.243.255,17500,17,08/02/2018 04:27:40,90024591,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.953928743758469,0.044432304057899025,3.0008197E7,658.1519581373286,3.0008745E7,3.0007467E7,9.0024591E7,3.0008197E7,658.1519581373286,3.0008745E7,3.0007467E7,0,0,0,0,0,0,0,0,0,32,0,0.044432304057899025,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,0,0,0,0,0,0,4,536,0,0,-1,-1,3,8,0,0,0,0,3.0008197E7,658.1519581373286,3.0008745E7,3.0007467E7,CIC
131.202.242.36-255.255.255.255-17500-17500-17,131.202.242.36,17500,255.255.255.255,17500,17,08/02/2018 04:27:40,90024600,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.95392814852829,0.04443229961588277,3.00082E7,638.5005873137471,3.0008737E7,3.0007494E7,9.00246E7,3.00082E7,638.5005873137471,3.0008737E7,3.0007494E7,0,0,0,0,0,0,0,0,0,32,0,0.04443229961588277,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,0,0,0,0,0,0,4,536,0,0,-1,-1,3,8,0,0,0,0,3.00082E7,638.5005873137471,3.0008737E7,3.0007494E7,CIC
131.202.242.77-131.202.243.255-137-137-17,131.202.242.77,137,131.202.243.255,137,17,08/02/2018 04:27:40,108429684,98,0,4900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,45.19057714859706,0.9038115429719412,1117831.7938144328,3220476.868229038,1.8084027E7,651.0,1.08429684E8,1117831.7938144328,3220476.868229038,1.8084027E7,651.0,0,0,0,0,0,0,0,0,0,784,0,0.9038115429719412,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.51020408163265,50.0,0.0,0,0,0,0,0,0,98,4900,0,0,-1,-1,97,8,4782956.166666666,1527577.1797425381,6259187.0,1979364.0,1.2967372166666666E7,4293253.183622527,1.8084027E7,7810609.0,CIC
131.202.242.77-255.255.255.255-64550-137-17,131.202.242.77,64550,255.255.255.255,137,17,08/02/2018 04:27:40,63752041,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,9.411463391423029,0.18822926782846058,5795640.090909091,1.6735084071161646E7,5.6253817E7,748610.0,6.3752041E7,5795640.090909091,1.6735084071161646E7,5.6253817E7,748610.0,0,0,0,0,0,0,0,0,0,96,0,0.18822926782846058,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,0,0,0,0,0,0,12,600,0,0,-1,-1,11,8,3749287.0,0.0,3749287.0,3749287.0,5.6253817E7,0.0,5.6253817E7,5.6253817E7,CIC
