Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-104.192.143.2-57528-443-6,131.202.242.189,57528,104.192.143.2,443,6,05/02/2018 11:20:18,243183,9,6,680.0,1619.0,346.0,0.0,75.55555555555556,140.33184876491072,1461.0,0.0,269.83333333333337,586.9624917034024,9453.785832068854,61.68194322793945,17370.214285714286,21903.26587232202,68690.0,10.0,243183.0,30397.875,28439.46214298264,72041.0,78.0,205063.0,41012.6,27511.949927258884,68779.0,351.0,0,0,0,0,296,200,37.00916593676367,24.67277729117578,0.0,1461.0,143.6875,368.6072379014462,135871.29583333334,0,0,0,1,0,0,0,0,0.0,153.26666666666668,75.55555555555556,269.8333333333333,0,0,0,0,0,0,9,680,6,1619,29200,240,4,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.2-57526-443-6,131.202.242.189,57526,104.192.143.2,443,6,05/02/2018 11:20:17,291368,13,11,953.0,4995.0,281.0,0.0,73.30769230769229,112.2359008334563,1448.0,0.0,454.0909090909091,607.9423417636667,20414.04684110815,82.37006122841217,12668.173913043476,19279.522017962656,69463.0,8.0,291368.0,24280.666666666664,22477.328611628905,69475.0,36.0,252183.0,25218.3,27392.20398438618,70435.0,168.0,0,0,0,0,424,360,44.61711649872326,37.75294472968891,0.0,1448.0,237.91999999999993,445.81385502621305,198749.99333333332,0,0,0,1,0,0,0,0,0.0,247.83333333333334,73.3076923076923,454.09090909090907,0,0,0,0,0,0,13,953,11,4995,29200,248,6,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.225.10.227-39744-443-6,131.202.242.189,39744,104.225.10.227,443,6,05/02/2018 11:20:16,1126087,12,12,796.0,6754.0,430.0,0.0,66.33333333333333,136.7062765955026,1448.0,0.0,562.8333333333334,609.6110284932565,6704.632945767067,21.312740489855578,48960.30434782609,199453.61225002917,961877.0,3.0,1126084.0,102371.27272727274,285524.17053870973,961900.0,187.0,1095934.0,99630.36363636362,298697.50125914096,999219.0,26.0,0,0,0,0,392,392,10.656370244927789,10.656370244927789,0.0,1448.0,302.0,494.44977837322705,244480.58333333334,0,0,0,1,0,0,0,0,1.0,314.5833333333333,66.33333333333333,562.8333333333334,0,0,0,0,0,0,12,796,12,6754,29200,243,3,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-162.125.18.133-41144-443-6,162.125.18.133,443,131.202.242.189,41144,6,05/02/2018 11:19:20,55016854,3,2,514.0,1039.0,257.0,0.0,171.33333333333334,148.37901918173384,1039.0,0.0,519.5,734.6839456528229,28.227713638442502,0.09088124159189473,1.37542135E7,2.7482950869941477E7,5.4978633E7,1365.0,5.5015489E7,2.75077445E7,3.884970308713909E7,5.4978633E7,36856.0,5.5015069E7,5.5015069E7,0.0,5.5015069E7,5.5015069E7,1,0,0,0,96,64,0.054528744955136835,0.036352496636757894,0.0,1039.0,301.66666666666674,382.5313930472461,146330.2666666667,0,1,0,0,1,0,0,0,0.0,362.0,171.33333333333334,519.5,0,0,0,0,0,0,3,514,2,1039,133,864,1,32,36856.0,0.0,36856.0,36856.0,5.4978633E7,0.0,5.4978633E7,5.4978633E7,CIC
127.0.0.1-127.0.0.1-39287-43152-6,127.0.0.1,39287,127.0.0.1,43152,6,05/02/2018 11:19:54,15001558,6,0,303.0,0.0,287.0,0.0,50.5,116.03749394053631,0,0,0,0,20.197902111234047,0.399958457648199,3000311.6,6708323.2282099975,1.5000525E7,51.0,1.5001558E7,3000311.6,6708323.2282099975,1.5000525E7,51.0,0,0,0,0,0,0,0,0,0,200,0,0.399958457648199,0.0,0.0,287.0,43.28571428571429,107.63319544594393,11584.904761904763,0,0,0,1,1,0,0,0,0.0,50.5,50.5,0.0,0,0,0,0,0,0,6,303,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-43152-39287-6,127.0.0.1,43152,127.0.0.1,39287,6,05/02/2018 11:19:54,15001518,8,0,384.0,0.0,362.0,0.0,48.0,126.99043833522046,0,0,0,0,25.59740954215433,0.5332793654615486,2143074.0,5652358.123829205,1.4961374E7,19.0,1.5001518E7,2143074.0,5652358.123829205,1.4961374E7,19.0,0,0,0,0,0,0,0,0,0,264,0,0.5332793654615486,0.0,0.0,362.0,42.666666666666664,119.86137826672943,14366.749999999998,0,0,0,1,0,0,0,0,0.0,48.0,48.0,0.0,0,0,0,0,0,0,8,384,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-172.217.9.229-50852-443-6,131.202.242.189,50852,172.217.9.229,443,6,05/02/2018 11:19:28,14637896,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.303897226759911,0.2732633159847563,4879298.666666666,8427380.026556851,1.4610386E7,22.0,0,0,0,0,0,1.4610408E7,7305204.0,1.0331087460003812E7,1.4610386E7,22.0,0,0,0,0,32,96,0.06831582899618907,0.2049474869885672,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,1,0,3,63,312,196,0,32,27488.0,0.0,27488.0,27488.0,1.4610386E7,0.0,1.4610386E7,1.4610386E7,CIC
127.0.0.1-127.0.0.1-43108-48112-6,127.0.0.1,43108,127.0.0.1,48112,6,05/02/2018 11:19:24,15000939,6,0,46.0,0.0,30.0,0.0,7.666666666666666,12.67543556122103,0,0,0,0,3.0664747053501116,0.39997496156740586,3000187.8,6708444.421637605,1.5000618E7,50.0,1.5000939E7,3000187.8,6708444.421637605,1.5000618E7,50.0,0,0,0,0,0,0,0,0,0,200,0,0.39997496156740586,0.0,0.0,30.0,6.571428571428571,11.92835756865606,142.28571428571428,0,0,0,1,1,0,0,0,0.0,7.666666666666667,7.666666666666667,0.0,0,0,0,0,0,0,6,46,0,0,43690,-1,2,32,0,0,0,0,0,0,0,0,CIC
127.0.0.1-127.0.0.1-48112-43108-6,127.0.0.1,48112,127.0.0.1,43108,6,05/02/2018 11:19:24,15000889,8,0,96.0,0.0,74.0,0.0,12.0,25.62922439047157,0,0,0,0,6.399620715812243,0.5333017263176869,2142984.1428571427,5653083.958441605,1.4962934E7,17.0,1.5000889E7,2142984.1428571427,5653083.958441605,1.4962934E7,17.0,0,0,0,0,0,0,0,0,0,264,0,0.5333017263176869,0.0,0.0,74.0,10.666666666666666,24.305349205473266,590.7499999999999,0,0,0,1,0,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,8,96,0,0,43690,-1,3,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-172.217.9.238-52500-443-6,131.202.242.189,52500,172.217.9.238,443,6,05/02/2018 11:19:23,14692259,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.287972326107238,0.2722522111814119,4897419.666666666,8458788.973257126,1.4664775E7,22.0,0,0,0,0,0,1.4664797E7,7332398.5,1.0369546290725766E7,1.4664775E7,22.0,0,0,0,0,32,96,0.06806305279535298,0.20418915838605894,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,1,0,3,63,279,197,0,32,27462.0,0.0,27462.0,27462.0,1.4664775E7,0.0,1.4664775E7,1.4664775E7,CIC
