Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-115.29.168.58-59442-443-6,115.29.168.58,443,131.202.242.189,59442,6,10/10/2017 03:28:05,33,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,939393.9393939393,90909.0909090909,16.5,19.091883092036785,30.0,3.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,0,1,0,0,0,64,32,60606.0606060606,30303.0303030303,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,264,364,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-115.29.168.58-59442-443-6,131.202.242.189,59442,115.29.168.58,443,6,10/10/2017 03:28:05,4996137,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.40030927894891594,4996137.0,0.0,4996137.0,4996137.0,4996137.0,4996137.0,0.0,4996137.0,4996137.0,0,0,0,0,0,0,0,0,0,64,0,0.40030927894891594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,364,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-75.126.104.177-48120-80-6,131.202.242.189,48120,75.126.104.177,80,6,10/10/2017 03:28:22,14958647,2,3,0.0,350.0,0.0,0.0,0.0,0.0,350.0,0.0,116.66666666666666,202.07259421636903,23.397838053134084,0.33425482933048695,3739661.7500000005,7478758.842650135,1.49578E7,4.0,1.4958643E7,1.4958643E7,0.0,1.4958643E7,1.4958643E7,1.4957837E7,7478918.5,1.0576735648681236E7,1.49578E7,37.0,0,0,0,0,64,96,0.13370193173219477,0.20055289759829215,0.0,350.0,58.333333333333336,142.88690166235205,20416.666666666664,0,0,0,0,1,0,0,0,1.0,70.0,0.0,116.66666666666667,0,0,0,0,0,0,2,0,3,350,229,40,0,32,810.0,0.0,810.0,810.0,1.49578E7,0.0,1.49578E7,1.49578E7,BENIGN
131.202.242.189-23.9.110.190-49370-80-6,131.202.242.189,49370,23.9.110.190,80,6,10/10/2017 03:28:15,24233273,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12379673187356903,1.21166365E7,1.71350181081116E7,2.4232924E7,349.0,2.4233273E7,2.4233273E7,0.0,2.4233273E7,2.4233273E7,0,0,0,0,0,0,0,0,0,64,32,0.08253115458237936,0.04126557729118968,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,237,31,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-103.235.46.191-57574-443-6,131.202.242.189,57574,103.235.46.191,443,6,10/10/2017 03:29:05,10884330,13,13,1943.0,610.0,1375.0,0.0,149.46153846153848,394.76904965321506,285.0,0.0,46.92307692307692,79.64343615814754,234.55738662829958,2.388755210472303,435373.2000000001,1994351.7041246975,1.0000172E7,1.0,1.0884327E7,907027.25,2865560.965547175,1.0000204E7,6.0,1.0617178E7,884764.8333333333,2872016.0614880347,1.0000194E7,5.0,0,0,0,0,316,280,1.1943776052361514,1.1943776052361514,0.0,1375.0,94.55555555555554,278.9992188207059,77840.56410256412,0,0,0,1,0,0,0,0,1.0,98.1923076923077,149.46153846153845,46.92307692307692,0,0,0,0,0,0,13,1943,13,610,29200,576,3,20,884123.0,0.0,884123.0,884123.0,1.0000172E7,0.0,1.0000172E7,1.0000172E7,BENIGN
131.202.242.189-208.43.192.33-57846-80-6,131.202.242.189,57846,208.43.192.33,80,6,10/10/2017 03:28:39,60117292,5,5,965.0,350.0,965.0,0.0,193.0,431.56111965745947,350.0,0.0,70.0,156.52475842498527,21.873906096768298,0.16634149123017716,6679699.111111111,1.5217627223140541E7,4.5011672E7,8.0,6.0117284E7,1.5029321E7,2.1219191747138154E7,4.5012791E7,83.0,6.011697E7,1.50292425E7,2.121856068851961E7,4.501189E7,77.0,0,0,0,0,168,168,0.08317074561508858,0.08317074561508858,0.0,965.0,119.54545454545455,299.4198936732039,89652.27272727274,0,0,0,1,0,0,0,0,1.0,131.5,193.0,70.0,0,0,0,0,0,0,5,965,5,350,29200,40,1,32,880.5,936.9164850721754,1543.0,218.0,3.0057727E7,2.1148071829981335E7,4.5011672E7,1.5103782E7,BENIGN
131.202.242.189-103.235.46.191-57576-443-6,131.202.242.189,57576,103.235.46.191,443,6,10/10/2017 03:29:06,37017842,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080560017518039,1.2339280666666666E7,2.11424026944687E7,3.6751942E7,34.0,3.7017842E7,1.8508921E7,2.5799527716857184E7,3.6751942E7,265900.0,0,0,0,0,0,0,0,0,0,80,40,0.08104200131385292,0.027014000437950974,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,8192,0,20,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-103.235.46.191-57576-443-6,131.202.242.189,57576,103.235.46.191,443,6,10/10/2017 03:29:43,816057,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.450809195926265,816057.0,0.0,816057.0,816057.0,816057.0,816057.0,0.0,816057.0,816057.0,0,0,0,0,0,0,0,0,0,40,0,2.450809195926265,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,229,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-103.235.46.191-57576-443-6,131.202.242.189,57576,103.235.46.191,443,6,10/10/2017 03:29:46,3271962,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6112540426814248,3271962.0,0.0,3271962.0,3271962.0,3271962.0,3271962.0,0.0,3271962.0,3271962.0,0,0,0,0,0,0,0,0,0,40,0,0.6112540426814248,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,229,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,10/10/2017 03:28:01,119807914,6284,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,52.45062525669214,19068.58411586827,72761.62676839031,922547.0,7.0,1.19807914E8,19068.58411586827,72761.62676839031,922547.0,7.0,0,0,0,0,0,0,0,0,0,0,0,52.45062525669214,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6284,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,BENIGN
