Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-98.139.225.35-49582-443-6,98.139.225.35,443,131.202.242.189,49582,6,16/10/2017 08:36:41,21,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1476190.4761904762,95238.09523809524,21.0,0.0,21.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,1,0,0,0,64,0,95238.09523809524,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,70,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-34.205.199.42-43356-443-6,34.205.199.42,443,131.202.242.189,43356,6,16/10/2017 08:36:37,5011798,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.1854049185541795,0.5985875727633078,2505899.0,3543859.381174428,5011786.0,12.0,5011798.0,5011798.0,0.0,5011798.0,5011798.0,0,0,0,0,0,1,0,0,0,64,32,0.39905838184220516,0.19952919092110258,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,162,364,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-34.233.43.188-51874-443-6,131.202.242.189,51874,34.233.43.188,443,6,16/10/2017 08:36:30,14973478,2,3,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,25.666666666666668,23.459184413217212,5.142425827853756,0.3339237550554387,3743369.5000000005,7464591.400544685,1.4940232E7,3.0,1.4973475E7,1.4973475E7,0.0,1.4973475E7,1.4973475E7,1.4940267E7,7470133.5,1.0564314610962914E7,1.4940232E7,35.0,0,0,0,0,64,96,0.13356950202217546,0.2003542530332632,0.0,46.0,12.833333333333332,20.43934115050352,417.7666666666666,0,0,0,0,1,0,0,0,1.0,15.4,0.0,25.666666666666668,64,0,0,0,0,0,0,2,0,3,77,568,143,0,32,33211.0,0.0,33211.0,33211.0,1.4940232E7,0.0,1.4940232E7,1.4940232E7,BENIGN
131.202.242.189-52.85.90.69-44692-443-6,52.85.90.69,443,131.202.242.189,44692,6,16/10/2017 08:36:46,16,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1937500.0,125000.0,16.0,0.0,16.0,16.0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,0,1,0,0,0,64,0,125000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,122,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.90.69-44692-443-6,131.202.242.189,44692,52.85.90.69,443,6,16/10/2017 08:36:46,11207,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.4598911394664,11207.0,0.0,11207.0,11207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,89.2299455697332,89.2299455697332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,364,122,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.88.170-54470-443-6,52.85.88.170,443,131.202.242.189,54470,6,16/10/2017 08:36:50,13,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,2384615.384615385,230769.23076923078,6.5,6.363961030678928,11.0,2.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,1,0,0,0,64,32,153846.15384615384,76923.07692307692,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,122,387,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-52.85.93.35-58334-443-6,52.85.93.35,443,131.202.242.189,58334,6,16/10/2017 08:36:51,28,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1107142.857142857,107142.85714285714,14.0,15.556349186104045,25.0,3.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,32,71428.57142857143,35714.28571428572,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,122,364,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-34.197.17.145-55656-443-6,131.202.242.189,55656,34.197.17.145,443,6,16/10/2017 08:36:33,20105806,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.541843186987878,0.24868438499804482,5026451.5,7097960.416775348,1.5073642E7,22.0,1.5106987E7,1.5106987E7,0.0,1.5106987E7,1.5106987E7,2.0072483E7,1.00362415E7,7123960.10620501,1.5073642E7,4998841.0,0,0,0,0,64,96,0.09947375399921793,0.1492106309988269,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,64,0,0,0,0,0,0,2,0,3,31,319,114,0,32,33323.0,0.0,33323.0,33323.0,1.5073642E7,0.0,1.5073642E7,1.5073642E7,BENIGN
131.202.242.189-31.13.80.36-50304-443-6,131.202.242.189,50304,31.13.80.36,443,6,16/10/2017 08:36:43,19957845,3,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,3.8581319776759466,0.35073927069781335,3326307.5,8137204.819547256,1.9936298E7,2.0,1.9957843E7,9978921.5,1.4112319052088657E7,1.9957838E7,5.0,1.9936329E7,6645443.0,1.151021806802117E7,1.9936298E7,4.0,0,0,0,0,96,128,0.15031683029906287,0.20042244039875048,0.0,46.0,9.624999999999998,18.267359649698378,333.6964285714285,0,0,0,0,1,0,0,0,1.0,11.0,0.0,19.25,96,0,0,0,0,0,0,3,0,4,77,13882,1089,0,32,21516.0,0.0,21516.0,21516.0,1.9936298E7,0.0,1.9936298E7,1.9936298E7,BENIGN
131.202.242.189-52.85.93.165-38890-443-6,131.202.242.189,38890,52.85.93.165,443,6,16/10/2017 08:37:01,44801560,2,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,1.7186901527536094,0.13392390800677476,8960312.0,2.0020762126218684E7,4.4774534E7,23.0,4.4801523E7,4.4801523E7,0.0,4.4801523E7,4.4801523E7,4.477463E7,1.4924876666666668E7,2.5850561544939216E7,4.4774534E7,23.0,0,0,0,0,64,128,0.044641302668924916,0.08928260533784983,0.0,46.0,11.0,19.27865832122834,371.6666666666667,0,0,0,0,1,0,0,0,2.0,12.833333333333334,0.0,19.25,64,0,0,0,0,0,0,2,0,4,77,342,122,0,32,26930.0,0.0,26930.0,26930.0,4.4774534E7,0.0,4.4774534E7,4.4774534E7,BENIGN
