Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-35.182.86.102-43536-80-6,131.202.242.189,43536,35.182.86.102,80,6,17/10/2017 09:58:00,12473719,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206742111153859,4157906.3333333335,7201295.3962478405,1.2473246E7,2.0,1.2473719E7,6236859.5,8819582.368500479,1.2473246E7,473.0,0,0,0,0,0,0,0,0,0,104,40,0.24050565833653942,0.08016855277884648,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,14480,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43542-80-6,131.202.242.189,43542,35.182.86.102,80,6,17/10/2017 09:58:00,12473694,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32067485381635946,4157898.0,7201205.619487128,1.2473134E7,11.0,1.2473694E7,6236847.0,8819441.654251022,1.2473134E7,560.0,0,0,0,0,0,0,0,0,0,104,40,0.24050614036226958,0.08016871345408987,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,14480,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43540-80-6,131.202.242.189,43540,35.182.86.102,80,6,17/10/2017 09:58:00,12473720,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206741854074005,4157906.6666666665,7201063.018146163,1.2472978E7,7.0,1.247372E7,6236860.0,8819202.652158981,1.2472978E7,742.0,0,0,0,0,0,0,0,0,0,104,40,0.2405056390555504,0.08016854635185013,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,14480,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43544-80-6,131.202.242.189,43544,35.182.86.102,80,6,17/10/2017 09:58:00,12473696,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32067480240018675,4157898.6666666665,7200896.746317734,1.2472778E7,6.0,1.2473696E7,6236848.0,8818936.780009255,1.2472778E7,918.0,0,0,0,0,0,0,0,0,0,104,40,0.24050610180014007,0.08016870060004669,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,14480,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-216.250.63.34-57870-80-6,131.202.242.189,57870,216.250.63.34,80,6,17/10/2017 09:58:00,12542112,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189255525704124,4180704.0,7240672.995857705,1.2541513E7,13.0,1.2542112E7,6271056.0,8867765.33167731,1.2541513E7,599.0,0,0,0,0,0,0,0,0,0,104,40,0.2391941644278093,0.0797313881426031,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,18292,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-216.250.63.34-57868-80-6,131.202.242.189,57868,216.250.63.34,80,6,17/10/2017 09:58:00,12542130,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189250948602829,4180710.0,7240668.666486335,1.2541514E7,3.0,1.254213E7,6271065.0,8867754.017968811,1.2541514E7,616.0,0,0,0,0,0,0,0,0,0,104,40,0.23919382114521218,0.07973127371507073,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,18292,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-216.250.63.34-57874-80-6,131.202.242.189,57874,216.250.63.34,80,6,17/10/2017 09:58:00,12542104,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189257559975583,4180701.3333333335,7240677.903554703,1.2541516E7,2.0,1.2542104E7,6271052.0,8867775.231172247,1.2541516E7,588.0,0,0,0,0,0,0,0,0,0,104,40,0.23919431699816873,0.07973143899938957,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,18292,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-216.250.63.34-57872-80-6,131.202.242.189,57872,216.250.63.34,80,6,17/10/2017 09:58:00,12542120,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31892534914352594,4180706.6666666665,7240674.151043004,1.2541517E7,3.0,1.254212E7,6271060.0,8867765.33167731,1.2541517E7,603.0,0,0,0,0,0,0,0,0,0,104,40,0.23919401185764447,0.07973133728588148,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,18292,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-104.93.185.184-40016-80-6,131.202.242.189,40016,104.93.185.184,80,6,17/10/2017 09:58:00,12513470,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31965553919096784,4171156.6666666665,7224079.373079889,1.2512805E7,15.0,1.251347E7,6256735.0,8847419.041155448,1.2512805E7,665.0,0,0,0,0,0,0,0,0,0,104,40,0.23974165439322587,0.07991388479774196,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,14480,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-104.93.185.184-40018-80-6,131.202.242.189,40018,104.93.185.184,80,6,17/10/2017 09:58:00,12513467,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319655615825734,4171155.6666666665,7224080.23948387,1.2512805E7,5.0,1.2513467E7,6256733.5,8847421.162475793,1.2512805E7,662.0,0,0,0,0,0,0,0,0,0,104,40,0.2397417118693005,0.0799139039564335,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,14480,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-136.147.128.146-39266-443-6,131.202.242.189,39266,136.147.128.146,443,6,17/10/2017 09:58:07,5213056,10,9,1609.0,4246.0,1268.0,0.0,160.9,395.9569140421439,1348.0,0.0,471.77777777777777,581.4350302866559,1123.1415891177842,3.644695165369411,289614.22222222225,1165950.358923244,4960630.0,6.0,5212466.0,579162.8888888889,1643442.4225434125,4960651.0,57.0,5166033.0,645754.125,1759750.2343135788,5000400.0,62.0,0,0,0,0,328,296,1.9182606133523217,1.7264345520170894,0.0,1348.0,292.75,495.4304747017062,245451.35526315795,0,0,0,1,0,0,0,0,0.0,308.1578947368421,160.9,471.77777777777777,0,0,0,0,0,0,10,1609,9,4246,29200,241,3,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-136.147.128.140-57436-443-6,131.202.242.189,57436,136.147.128.140,443,6,17/10/2017 09:58:07,5226346,10,10,1854.0,4338.0,1516.0,0.0,185.4,473.20942040026586,1348.0,0.0,433.8,566.5362202797708,1184.7665653976985,3.826765392111429,275070.84210526315,1134918.7967994432,4960858.0,2.0,5226344.0,580704.8888888889,1642979.956974403,4960883.0,76.0,5174987.0,574998.5555555555,1659405.896012268,4999629.0,27.0,0,0,0,0,328,328,1.9133826960557145,1.9133826960557145,0.0,1516.0,294.8571428571429,514.9667256934458,265190.7285714286,0,0,0,1,0,0,0,0,1.0,309.6,185.4,433.8,0,0,0,0,0,0,10,1854,10,4338,29200,243,3,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43534-80-6,131.202.242.189,43534,35.182.86.102,80,6,17/10/2017 09:58:00,16709944,14,14,1324.0,20484.0,486.0,0.0,94.57142857142858,188.54451189847177,5792.0,0.0,1463.142857142857,1808.230152860605,1305.0911481211426,1.6756489429288333,618886.8148148148,3033790.089976107,1.5793026E7,2.0,916918.0,70532.15384615386,114921.52262873866,370088.0,5.0,1.6709479E7,1285344.5384615385,4360496.820597389,1.579304E7,6.0,0,0,0,0,456,456,0.8378244714644166,0.8378244714644166,0.0,5792.0,752.0,1422.5832137347888,2023743.0,0,0,0,1,0,0,0,0,1.0,778.8571428571429,94.57142857142857,1463.142857142857,0,0,0,0,0,0,14,1324,14,20484,29200,35,3,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43538-80-6,131.202.242.189,43538,35.182.86.102,80,6,17/10/2017 09:58:00,16710135,4,4,507.0,193.0,507.0,0.0,126.75,253.5,193.0,0.0,48.25,96.49999999999999,41.89074474862112,0.4787513685556699,2387162.1428571427,5914849.09789493,1.5779932E7,2.0,930203.0,310067.6666666666,503965.5950502309,891590.0,461.0,1.6709676E7,5569892.0,8852599.617735177,1.5779952E7,35297.0,0,0,0,0,136,136,0.23937568427783495,0.23937568427783495,0.0,507.0,77.77777777777777,173.1522291061956,29981.694444444445,0,0,0,1,0,0,0,0,1.0,87.5,126.75,48.25,0,0,0,0,0,0,4,507,4,193,29200,31,1,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43534-80-6,131.202.242.189,43534,35.182.86.102,80,6,17/10/2017 09:58:17,1272525,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.5716783560244396,1272525.0,0.0,1272525.0,1272525.0,1272525.0,1272525.0,0.0,1272525.0,1272525.0,0,0,0,0,0,0,0,0,0,64,0,1.5716783560244396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,580,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.182.86.102-43538-80-6,131.202.242.189,43538,35.182.86.102,80,6,17/10/2017 09:58:17,1272545,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.571653654684117,1272545.0,0.0,1272545.0,1272545.0,1272545.0,1272545.0,0.0,1272545.0,1272545.0,0,0,0,0,0,0,0,0,0,64,0,1.571653654684117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
