Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-162.125.18.133-52612-443-6,162.125.18.133,443,131.202.242.189,52612,6,15/12/2017 11:17:18,1269,1,1,257.0,0.0,257.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,202521.67060677698,1576.0441292356186,1269.0,0.0,1269.0,1269.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,788.0220646178093,788.0220646178093,0.0,257.0,171.33333333333331,148.37901918173384,22016.333333333336,0,1,0,0,1,0,0,0,1.0,257.0,257.0,0.0,0,0,0,0,0,0,1,257,1,0,137,819,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-172.217.12.131-48990-443-6,172.217.12.131,443,131.202.242.189,48990,6,15/12/2017 11:17:27,19,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0,0,0,0,3315789.4736842103,105263.15789473684,19.0,0.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,0,1,0,0,0,64,0,105263.15789473684,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,0,1,0,0,1,0,0,0,0.0,63.0,31.5,0.0,0,0,0,0,0,0,2,63,0,0,179,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-172.217.17.131-47990-443-6,131.202.242.189,47990,172.217.17.131,443,6,15/12/2017 11:17:19,14322665,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.398622742345785,0.27927763443465303,4774221.666666666,8173954.418653516,1.4212477E7,21.0,0,0,0,0,0,1.4212498E7,7106249.0,1.0049724014915435E7,1.4212477E7,21.0,0,0,0,0,32,96,0.06981940860866326,0.20945822582598977,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,1,0,3,63,363,208,0,32,110167.0,0.0,110167.0,110167.0,1.4212477E7,0.0,1.4212477E7,1.4212477E7,BENIGN
131.202.242.189-172.217.6.238-38040-443-6,131.202.242.189,38040,172.217.6.238,443,6,15/12/2017 11:17:22,14626068,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.3073777586703414,0.27348430213779945,4875356.0,8419934.247011494,1.4597845E7,24.0,0,0,0,0,0,1.4597869E7,7298934.5,1.0322218219647389E7,1.4597845E7,24.0,0,0,0,0,32,96,0.06837107553444986,0.20511322660334957,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,1,0,3,63,2526,373,0,32,28199.0,0.0,28199.0,28199.0,1.4597845E7,0.0,1.4597845E7,1.4597845E7,BENIGN
131.202.242.189-93.184.215.201-40906-443-6,93.184.215.201,443,131.202.242.189,40906,6,15/12/2017 11:17:54,129,3,4,95.0,0.0,64.0,0.0,31.666666666666668,32.00520790954705,0.0,0.0,0.0,0.0,736434.1085271318,54263.56589147287,21.5,34.092521174005306,89.0,2.0,36.0,18.0,11.313708498984761,26.0,10.0,105.0,35.0,46.8081189538738,89.0,6.0,0,0,0,0,60,104,23255.813953488374,31007.7519379845,0.0,64.0,11.875000000000002,23.691092358581887,561.2678571428571,0,0,0,0,1,1,0,0,1.0,13.571428571428571,31.666666666666668,0.0,0,0,0,0,0,0,3,95,4,0,290,425,2,20,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-35.186.213.138-35622-443-6,131.202.242.189,35622,35.186.213.138,443,6,15/12/2017 11:17:47,14688926,1,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.288945291166964,0.2723139867407597,4896308.666666666,8456496.097503051,1.4661016E7,17.0,0,0,0,0,0,1.4661033E7,7330516.5,1.0366891811869193E7,1.4661016E7,17.0,0,0,0,0,32,96,0.06807849668518992,0.20423549005556974,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,3.0,15.75,0.0,21.0,0,0,0,0,0,0,1,0,3,63,265,179,0,32,27893.0,0.0,27893.0,27893.0,1.4661016E7,0.0,1.4661016E7,1.4661016E7,BENIGN
131.202.242.189-162.125.34.137-48122-443-6,131.202.242.189,48122,162.125.34.137,443,6,15/12/2017 11:17:18,60537579,8,8,2018.0,3743.0,1714.0,0.0,252.25000000000006,594.7767288175095,3022.0,0.0,467.87499999999994,1044.3984512627353,95.16403026292149,0.26429864332698205,4035838.5999999996,1.5471847867871784E7,5.9962903E7,3.0,6.0537576E7,8648225.142857144,2.262787145350162E7,5.9962926E7,252.0,6.0446113E7,8635158.999999998,2.2649629327155698E7,5.9999519E7,26.0,0,0,0,0,264,264,0.13214932166349103,0.13214932166349103,0.0,3022.0,338.88235294117646,806.9885286013164,651230.4852941176,0,0,0,1,0,0,0,0,1.0,360.0625,252.25,467.875,0,0,0,0,0,0,8,2018,8,3743,29200,65,3,32,574650.0,0.0,574650.0,574650.0,5.9962903E7,0.0,5.9962903E7,5.9962903E7,BENIGN
131.202.242.189-54.240.190.104-54152-443-6,131.202.242.189,54152,54.240.190.104,443,6,15/12/2017 11:17:58,44879901,3,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,1.7156900591202286,0.15597182355638442,7479983.500000001,1.8308802706690274E7,4.4852664E7,3.0,4.4879789E7,2.24398945E7,3.1734791826412924E7,4.4879781E7,8.0,4.4852812E7,1.4950937333333332E7,2.5895654910387617E7,4.4852664E7,31.0,0,0,0,0,96,128,0.06684506723845046,0.08912675631793396,0.0,46.0,9.624999999999998,18.267359649698378,333.6964285714285,0,0,0,0,1,0,0,0,1.0,11.0,0.0,19.25,0,0,0,0,0,0,3,0,4,77,276,166,0,32,27089.0,0.0,27089.0,27089.0,4.4852664E7,0.0,4.4852664E7,4.4852664E7,BENIGN
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/12/2017 11:17:15,119916295,9404,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,78.4213688389889,12752.982558757853,58367.11576292757,970162.0,8.0,1.19916295E8,12752.982558757853,58367.11576292757,970162.0,8.0,0,0,0,0,0,0,0,0,0,0,0,78.4213688389889,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9404,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,BENIGN
131.202.243.255-131.202.243.5-137-137-17,131.202.243.5,137,131.202.243.255,137,17,15/12/2017 11:17:17,63752354,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,9.41141718468937,0.18822834369378738,5795668.545454546,1.6735428518791683E7,5.6254884E7,748534.0,6.3752354E7,5795668.545454546,1.6735428518791683E7,5.6254884E7,748534.0,0,0,0,0,0,0,0,0,0,-12,0,0.18822834369378738,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,0,0,0,0,0,0,12,600,0,0,-1,-1,11,-1,3748665.0,0.0,3748665.0,3748665.0,5.6254884E7,0.0,5.6254884E7,5.6254884E7,BENIGN
