Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
156.154.200.36-192.168.0.15-443-60123-6,192.168.0.15,60123,156.154.200.36,443,6,04/01/2018 08:35:57,2919864,7,9,1810.0,4531.0,1237.0,0.0,258.57142857142856,453.2254248321532,1460.0,0.0,503.44444444444446,629.9135081721757,2171.6764890419554,5.479707274037421,194657.60000000003,681423.119521386,2656333.0,2.0,2857887.0,476314.5,1068480.4737009937,2656333.0,392.0,2863500.0,357937.5,969546.9926879696,2756798.0,2.0,0,0,0,0,152,188,2.397371932391372,3.0823353416460493,0.0,1460.0,373.0,547.1937499643066,299421.0,0,0,0,1,0,0,0,0,1.0,396.3125,258.57142857142856,503.44444444444446,0,0,0,0,0,0,7,1810,9,4531,64240,6190,3,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60144-6,192.168.0.15,60144,156.154.200.36,443,6,04/01/2018 08:35:59,1273741,5,8,1543.0,826.0,1237.0,0.0,308.6,527.4905686360657,661.0,0.0,103.25,232.643657615185,1859.8757518208176,10.206156510625002,106145.08333333334,292139.39630701777,1030148.0,1.0,1213849.0,303462.25,519905.31946716027,1081927.0,245.0,1211628.0,173089.7142857143,400552.09564205015,1079733.0,1.0,0,0,0,0,112,168,3.9254448117788465,6.280711698846154,0.0,1237.0,169.21428571428572,356.52514822755677,127110.18131868132,0,0,0,1,0,0,0,0,1.0,182.23076923076923,308.6,103.25,0,0,0,0,0,0,5,1543,8,826,64240,5923,3,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60145-6,192.168.0.15,60145,156.154.200.36,443,6,04/01/2018 08:35:59,1273217,5,8,1543.0,922.0,1237.0,0.0,308.6,527.4905686360657,757.0,0.0,115.25,265.65646452299467,1936.0407534615074,10.210356914807138,106101.41666666667,289494.24377994065,1021239.0,1.0,1214866.0,303716.5,512145.6234539157,1070243.0,245.0,1198710.0,171244.2857142857,396724.6570833539,1069284.0,1.0,0,0,0,0,112,168,3.9270603518488993,6.283296562958238,0.0,1237.0,176.07142857142856,367.46668384530284,135031.76373626373,0,0,0,1,0,0,0,0,1.0,189.6153846153846,308.6,115.25,0,0,0,0,0,0,5,1543,8,922,64240,5923,3,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60144-6,192.168.0.15,60144,156.154.200.36,443,6,04/01/2018 08:36:00,81911,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,24.416745003723555,81911.0,0.0,81911.0,81911.0,81911.0,81911.0,0.0,81911.0,81911.0,0,0,0,0,0,0,0,0,0,40,0,24.416745003723555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,63414,-1,0,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60145-6,192.168.0.15,60145,156.154.200.36,443,6,04/01/2018 08:36:00,173584,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.521799244169971,173584.0,0.0,173584.0,173584.0,173584.0,173584.0,0.0,173584.0,173584.0,0,0,0,0,0,0,0,0,0,40,0,11.521799244169971,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,63318,-1,0,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60123-6,192.168.0.15,60123,156.154.200.36,443,6,04/01/2018 08:36:00,174504,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.461055333975153,174504.0,0.0,174504.0,174504.0,174504.0,174504.0,0.0,174504.0,174504.0,0,0,0,0,0,0,0,0,0,40,0,11.461055333975153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,63456,-1,0,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60147-6,192.168.0.15,60147,156.154.200.36,443,6,04/01/2018 08:36:01,159778,5,8,1591.0,842.0,1285.0,0.0,318.2,548.6243705851938,677.0,0.0,105.25,238.12766683920984,15227.377986956903,81.36289101127815,13314.833333333336,21533.620870347808,51096.0,0.0,104875.0,26218.75,26624.624521609065,49320.0,233.0,110564.0,15794.857142857143,25059.660628378904,57682.0,0.0,0,0,0,0,112,168,31.293419619722364,50.06947139155578,0.0,1285.0,173.78571428571428,369.2970825295472,136380.33516483518,0,0,0,1,0,0,0,0,1.0,187.15384615384616,318.2,105.25,0,0,0,0,0,0,5,1591,8,842,64240,5971,3,20,0,0,0,0,0,0,0,0,CIC
156.154.200.36-192.168.0.15-443-60147-6,192.168.0.15,60147,156.154.200.36,443,6,04/01/2018 08:36:01,47730,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,41.90236748376283,47730.0,0.0,47730.0,47730.0,47730.0,47730.0,0.0,47730.0,47730.0,0,0,0,0,0,0,0,0,0,40,0,41.90236748376283,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,63398,-1,0,20,0,0,0,0,0,0,0,0,CIC
192.168.0.15-34.206.65.78-60102-443-6,192.168.0.15,60102,34.206.65.78,443,6,04/01/2018 08:35:56,10301318,7,6,359.0,3112.0,233.0,0.0,51.28571428571428,92.87395452209101,1460.0,0.0,518.6666666666667,730.9707700494369,336.94717510904917,1.261974438610671,858443.1666666666,2883212.6307939216,1.0013276E7,1.0,1.0301318E7,1716886.3333333333,4064599.203466323,1.0013276E7,6371.0,158979.0,31795.8,42588.81922758601,79227.0,1.0,0,0,0,0,152,132,0.6795246977134383,0.5824497408972328,0.0,1460.0,247.92857142857142,518.5250478759201,268868.2252747253,0,0,0,1,0,0,0,0,0.0,267.0,51.285714285714285,518.6666666666666,0,0,0,0,0,0,7,359,6,3112,64240,110,2,20,0,0,0,0,0,0,0,0,CIC
192.168.0.15-34.206.65.78-60104-443-6,192.168.0.15,60104,34.206.65.78,443,6,04/01/2018 08:35:56,10300831,7,6,359.0,3112.0,233.0,0.0,51.28571428571428,92.87395452209101,1460.0,0.0,518.6666666666667,730.9707700494369,336.96310520966705,1.2620341019088654,858402.5833333333,2882026.3184946002,1.0009449E7,1.0,1.0300831E7,1716805.1666666665,4062777.764874639,1.0009449E7,2335.0,154720.0,30944.0,38593.873425713566,73315.0,1.0,0,0,0,0,152,132,0.6795568241047737,0.5824772778040918,0.0,1460.0,247.92857142857142,518.5250478759201,268868.2252747253,0,0,0,1,0,0,0,0,0.0,267.0,51.285714285714285,518.6666666666666,0,0,0,0,0,0,7,359,6,3112,64240,110,2,20,0,0,0,0,0,0,0,0,CIC
