Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,04/09/2017 11:53:48,90166230,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.72287961912126,0.2218125344710542,4745591.052631578,1.1255138379110718E7,3.0062833E7,51.0,9.016623E7,4745591.052631578,1.1255138379110718E7,3.0062833E7,51.0,0,0,0,0,0,0,0,0,0,-20,0,0.2218125344710542,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,7397.0,3244.185413936756,10602.0,4115.0,3.0044954E7,17124.85097745379,3.0062833E7,3.0028699E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,04/09/2017 11:53:48,90155775,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.945265292212285,0.044367651434420036,3.0051925E7,17362.48242619701,3.0070975E7,3.0036989E7,9.0155775E7,3.0051925E7,17362.48242619701,3.0070975E7,3.0036989E7,0,0,0,0,0,0,0,0,0,-4,0,0.044367651434420036,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0051925E7,17362.48242619701,3.0070975E7,3.0036989E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,04/09/2017 11:55:48,90188171,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.715648629796473,0.2217585718641528,4746745.842105264,1.1258873194161331E7,3.0058013E7,49.0,9.0188171E7,4746745.842105264,1.1258873194161331E7,3.0058013E7,49.0,0,0,0,0,0,0,0,0,0,-20,0,0.2217585718641528,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,6151.666666666667,2547.2876424411384,7974.0,3241.0,3.0054507333333332E7,3272.1391066599435,3.0058013E7,3.0051534E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,04/09/2017 11:55:48,90184678,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.943359913088562,0.04435343218722808,3.0061559333333332E7,3971.9700821296897,3.0065617E7,3.0057679E7,9.0184678E7,3.0061559333333332E7,3971.9700821296897,3.0065617E7,3.0057679E7,0,0,0,0,0,0,0,0,0,-4,0,0.04435343218722808,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0061559333333332E7,3971.9700821296897,3.0065617E7,3.0057679E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,04/09/2017 11:57:48,90163799,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.72368100860524,0.22181851498959135,4745463.105263157,1.125527589888066E7,3.0048384E7,81.0,9.0163799E7,4745463.105263157,1.125527589888066E7,3.0048384E7,81.0,0,0,0,0,0,0,0,0,0,-20,0,0.22181851498959135,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,6761.333333333333,2825.6992644889397,9159.0,3646.0,3.0045138333333332E7,4622.3364582571585,3.0048384E7,3.0039846E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,04/09/2017 11:57:48,90155659,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.9452729417684145,0.044367708520659806,3.0051886333333332E7,7170.293601613071,3.00575E7,3.0043809E7,9.0155659E7,3.0051886333333332E7,7170.293601613071,3.00575E7,3.0043809E7,0,0,0,0,0,0,0,0,0,-4,0,0.044367708520659806,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0051886333333332E7,7170.293601613071,3.00575E7,3.0043809E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,04/09/2017 11:59:48,90169852,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.721685691576823,0.22180362456400615,4745781.684210528,1.1256754603275927E7,3.0063433E7,50.0,9.0169852E7,4745781.684210528,1.1256754603275927E7,3.0063433E7,50.0,0,0,0,0,0,0,0,0,0,-20,0,0.22180362456400615,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,5953.0,2217.6737812401534,7366.0,3397.0,3.0048778E7,16981.50685304458,3.0063433E7,3.0030168E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,04/09/2017 11:59:48,90162551,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.944818486779506,0.0443643170655187,3.0054183666666668E7,18687.65459690791,3.0070641E7,3.0033868E7,9.0162551E7,3.0054183666666668E7,18687.65459690791,3.0070641E7,3.0033868E7,0,0,0,0,0,0,0,0,0,-4,0,0.0443643170655187,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0054183666666668E7,18687.65459690791,3.0070641E7,3.0033868E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:01:49,90152231,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.727495041137693,0.221846977918938,4744854.263157896,1.1255197764877662E7,3.0049761E7,50.0,9.0152231E7,4744854.263157896,1.1255197764877662E7,3.0049761E7,50.0,0,0,0,0,0,0,0,0,0,-20,0,0.221846977918938,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,4958.0,2384.3886008786403,7631.0,3050.0,3.0044353666666668E7,8171.0376534032275,3.0049761E7,3.0034954E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:01:49,90147950,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.945781351655806,0.04437150262429706,3.0049316666666668E7,9181.816886288538,3.0057302E7,3.0039284E7,9.014795E7,3.0049316666666668E7,9181.816886288538,3.0057302E7,3.0039284E7,0,0,0,0,0,0,0,0,0,-4,0,0.04437150262429706,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0049316666666668E7,9181.816886288538,3.0057302E7,3.0039284E7,BENIGN
