Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.242.189-93.184.216.172-34712-443-6,131.202.242.189,34712,93.184.216.172,443,6,07/02/2018 04:02:14,14384031,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13904308187322456,1.4384031E7,0.0,1.4384031E7,1.4384031E7,1.4384031E7,1.4384031E7,0.0,1.4384031E7,1.4384031E7,0,0,0,0,0,0,0,0,0,64,0,0.13904308187322456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,636,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.3-50116-443-6,131.202.242.189,50116,104.192.143.3,443,6,07/02/2018 04:02:09,255773,9,7,677.0,1306.0,343.0,0.0,75.22222222222223,139.6108679309904,1114.0,0.0,186.57142857142858,413.00801329710185,7752.968452494986,62.55546910737256,17051.533333333333,21024.140892475647,69219.0,11.0,255773.0,31971.625000000004,28624.57988182035,69651.0,66.0,217589.0,36264.83333333333,27327.864625079408,69361.0,1066.0,0,0,0,0,296,232,35.187451372897065,27.368017734475494,0.0,1114.0,116.64705882352942,278.6866388025426,77666.24264705883,0,0,0,1,0,0,0,0,0.0,123.9375,75.22222222222223,186.57142857142858,0,0,0,0,0,0,9,677,7,1306,29200,240,4,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.3-50114-443-6,131.202.242.189,50114,104.192.143.3,443,6,07/02/2018 04:02:09,210738,9,7,657.0,767.0,323.0,0.0,73.0,134.89532979313998,529.0,0.0,109.57142857142857,194.5780538694409,6757.2056297392965,75.92365876111569,14049.200000000003,20741.576225404995,69679.0,14.0,210738.0,26342.250000000004,23753.38844249384,69702.0,78.0,172082.0,28680.333333333332,31222.226375879516,69802.0,1742.0,0,0,0,0,296,232,42.707058053127575,33.216600707988114,0.0,529.0,83.76470588235294,155.213373059381,24091.191176470587,0,0,0,1,0,0,0,0,0.0,89.0,73.0,109.57142857142857,0,0,0,0,0,0,9,657,7,767,29200,240,4,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-104.192.143.3-50112-443-6,131.202.242.189,50112,104.192.143.3,443,6,07/02/2018 04:02:09,271332,12,10,669.0,4804.0,269.0,0.0,55.74999999999999,96.9068202872317,1448.0,0.0,480.4,637.6767206037867,20170.860790470713,81.08147951586986,12920.57142857143,20366.37208137824,69034.0,10.0,271332.0,24666.545454545456,24528.882756308474,69058.0,24.0,233387.0,25931.88888888889,29878.835383279435,69961.0,210.0,0,0,0,0,392,328,44.22626155411083,36.855217961759024,0.0,1448.0,237.95652173913035,467.38085290272534,218444.86166007898,0,0,0,1,0,0,0,0,0.0,248.77272727272728,55.75,480.4,0,0,0,0,0,0,12,669,10,4804,29200,240,5,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-93.184.216.172-34712-443-6,131.202.242.189,34712,93.184.216.172,443,6,07/02/2018 04:02:04,3595984,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5561760007830958,3595984.0,0.0,3595984.0,3595984.0,3595984.0,3595984.0,0.0,3595984.0,3595984.0,0,0,0,0,0,0,0,0,0,64,0,0.5561760007830958,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,636,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-93.184.216.172-34712-443-6,131.202.242.189,34712,93.184.216.172,443,6,07/02/2018 04:02:01,896001,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.2321403659147703,896001.0,0.0,896001.0,896001.0,896001.0,896001.0,0.0,896001.0,896001.0,0,0,0,0,0,0,0,0,0,64,0,2.2321403659147703,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,636,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-93.184.216.172-34712-443-6,131.202.242.189,34712,93.184.216.172,443,6,07/02/2018 04:02:00,224005,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.928372134550568,224005.0,0.0,224005.0,224005.0,224005.0,224005.0,0.0,224005.0,224005.0,0,0,0,0,0,0,0,0,0,64,0,8.928372134550568,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,636,-1,0,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-192.30.253.125-41548-443-6,192.30.253.125,443,131.202.242.189,41548,6,07/02/2018 04:02:00,310,4,2,66.0,0.0,35.0,0.0,16.5,19.122412679017955,0.0,0.0,0.0,0.0,212903.2258064516,19354.83870967742,62.0,126.43575443678897,288.0,2.0,310.0,103.33333333333334,160.07914709084795,288.0,4.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,128,40,12903.225806451614,6451.612903225807,0.0,35.0,9.428571428571429,16.143699935858805,260.61904761904765,0,0,0,0,1,0,0,0,0.0,11.0,16.5,0.0,0,0,0,0,0,0,4,66,2,0,31,0,2,32,0,0,0,0,0,0,0,0,CIC
131.202.242.189-192.30.253.125-41548-443-6,131.202.242.189,41548,192.30.253.125,443,6,07/02/2018 04:01:31,29584977,4,3,72.0,31.0,37.0,0.0,18.0,20.800641015763592,31.0,0.0,10.333333333333332,17.8978583448784,3.481496706926627,0.23660657231540186,4930829.5,7537010.183701035,1.4887409E7,89.0,2.9584977E7,9861659.0,8543424.780629545,1.5020884E7,89.0,1.5020972E7,7510486.0,1.043254455518202E7,1.4887409E7,133563.0,0,0,0,0,128,96,0.13520375560880105,0.10140281670660078,0.0,37.0,12.875,17.84406664092337,318.4107142857143,0,0,0,0,1,0,0,0,0.0,14.714285714285714,18.0,10.333333333333334,0,0,0,0,0,0,4,72,3,31,318,31,2,32,133468.5,133.64318164425748,133563.0,133374.0,1.46589755E7,323053.75380035443,1.4887409E7,1.4430542E7,CIC
131.202.242.189-93.184.216.172-34712-443-6,131.202.242.189,34712,93.184.216.172,443,6,07/02/2018 04:01:45,14898835,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13423868376285797,1.4898835E7,0.0,1.4898835E7,1.4898835E7,1.4898835E7,1.4898835E7,0.0,1.4898835E7,1.4898835E7,0,0,0,0,0,0,0,0,0,64,0,0.13423868376285797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,636,-1,0,32,0,0,0,0,0,0,0,0,CIC
