2021-12-16 13:43:36 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2021-12-16 13:44:07 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2021-12-16 13:44:07 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:D:\Documents\GitHub\Panda\data\daily\2021-12-16_Flow.csv
2021-12-16 13:47:06 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2021-12-16 13:47:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 12 flow
2021-12-16 13:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 42 flow
2021-12-16 13:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 44 flow
2021-12-16 13:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 49 flow
2021-12-16 13:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 53 flow
2021-12-16 13:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 64 flow
2021-12-16 13:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 65 flow
2021-12-16 13:47:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 87 flow
2021-12-16 13:47:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 89 flow
2021-12-16 13:47:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 103 flow
2021-12-16 13:47:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 104 flow
2021-12-16 13:47:13 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 154 flow
2021-12-16 13:47:13 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 159 flow
2021-12-16 13:47:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 167 flow
2021-12-16 13:47:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 167 flow
2021-12-16 13:47:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 167 flow
2021-12-16 13:47:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 168 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 221 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 221 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 223 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 223 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 230 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 232 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 232 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 234 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 236 flow
2021-12-16 13:47:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 237 flow
2021-12-16 13:47:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 252 flow
2021-12-16 13:47:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 252 flow
2021-12-16 13:47:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 257 flow
2021-12-16 13:47:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 259 flow
2021-12-16 13:47:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 261 flow
2021-12-16 13:47:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 261 flow
2021-12-16 13:47:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 274 flow
2021-12-16 13:47:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 274 flow
2021-12-16 13:47:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 279 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 279 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 284 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 287 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 288 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 290 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 298 flow
2021-12-16 13:47:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 300 flow
2021-12-16 13:47:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 352 flow
2021-12-16 13:47:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 368 flow
2021-12-16 13:47:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 395 flow
2021-12-16 13:47:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 395 flow
2021-12-16 13:47:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 405 flow
2021-12-16 13:47:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 404 flow
2021-12-16 13:47:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 405 flow
2021-12-16 13:47:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 407 flow
2021-12-16 13:47:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 418 flow
2021-12-16 13:47:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 421 flow
2021-12-16 13:47:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 421 flow
2021-12-16 13:47:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 423 flow
2021-12-16 13:47:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 433 flow
2021-12-16 13:47:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 433 flow
2021-12-16 13:47:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 438 flow
2021-12-16 13:47:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 438 flow
2021-12-16 13:47:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 444 flow
2021-12-16 13:47:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 444 flow
2021-12-16 13:47:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2021-12-16 13:47:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 453 flow
2021-12-16 13:47:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 453 flow
2021-12-16 13:47:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 453 flow
2021-12-16 13:47:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 455 flow
2021-12-16 13:47:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 456 flow
2021-12-16 13:47:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 463 flow
2021-12-16 13:47:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 463 flow
2021-12-16 13:47:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 505 flow
2021-12-16 13:47:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 505 flow
2021-12-16 13:47:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 507 flow
2021-12-16 13:47:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 507 flow
2021-12-16 13:47:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 514 flow
2021-12-16 13:47:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 515 flow
2021-12-16 13:47:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 520 flow
2021-12-16 13:47:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 520 flow
2021-12-16 13:47:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 531 flow
2021-12-16 13:47:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 530 flow
2021-12-16 13:47:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 530 flow
2021-12-16 13:47:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 532 flow
2021-12-16 13:47:45 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 537 flow
2021-12-16 13:47:45 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 537 flow
2021-12-16 13:47:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 541 flow
2021-12-16 13:47:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 541 flow
2021-12-16 13:47:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 545 flow
2021-12-16 13:47:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 545 flow
2021-12-16 13:47:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 553 flow
2021-12-16 13:47:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 553 flow
2021-12-16 13:47:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 564 flow
2021-12-16 13:47:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 566 flow
2021-12-16 13:47:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 566 flow
2021-12-16 13:47:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 566 flow
2021-12-16 13:47:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 612 flow
2021-12-16 13:47:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 612 flow
2021-12-16 13:47:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 614 flow
2021-12-16 13:47:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 616 flow
2021-12-16 13:47:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 621 flow
2021-12-16 13:47:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 621 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 629 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 629 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 637 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 637 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 637 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 639 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 640 flow
2021-12-16 13:47:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 642 flow
2021-12-16 13:48:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 656 flow
2021-12-16 13:48:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 655 flow
2021-12-16 13:48:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 655 flow
2021-12-16 13:48:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 657 flow
2021-12-16 13:48:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 668 flow
2021-12-16 13:48:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 668 flow
2021-12-16 13:48:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 661 flow
2021-12-16 13:48:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 661 flow
2021-12-16 13:48:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 685 flow
2021-12-16 13:48:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 686 flow
2021-12-16 13:48:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 694 flow
2021-12-16 13:48:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 697 flow
2021-12-16 13:48:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 697 flow
2021-12-16 13:48:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 697 flow
2021-12-16 13:48:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 702 flow
2021-12-16 13:48:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 705 flow
2021-12-16 13:48:09 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 706 flow
2021-12-16 13:48:09 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 706 flow
2021-12-16 13:48:13 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 706 flow
2021-12-16 13:48:13 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 709 flow
2021-12-16 13:48:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 714 flow
2021-12-16 13:48:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 716 flow
2021-12-16 13:48:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 716 flow
2021-12-16 13:48:15 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 722 flow
2021-12-16 13:48:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 701 flow
2021-12-16 13:48:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 702 flow
2021-12-16 13:48:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 706 flow
2021-12-16 13:48:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 708 flow
2021-12-16 13:48:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 710 flow
2021-12-16 13:48:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 712 flow
2021-12-16 13:48:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 712 flow
2021-12-16 13:48:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 713 flow
2021-12-16 13:48:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 765 flow
2021-12-16 13:48:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 765 flow
2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 767 flow
2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 769 flow
2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 768 flow
2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 768 flow
2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 770 flow
2021-12-16 13:48:23 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 778 flow
2021-12-16 13:48:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 783 flow
2021-12-16 13:48:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 784 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 789 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 788 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 786 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 786 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 786 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 790 flow
2021-12-16 13:48:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 781 flow
2021-12-16 13:48:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 775 flow
2021-12-16 13:48:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 737 flow
2021-12-16 13:48:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 740 flow
2021-12-16 13:48:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 741 flow
2021-12-16 13:48:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 742 flow
2021-12-16 13:48:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 742 flow
2021-12-16 13:48:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
2021-12-16 13:48:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
2021-12-16 13:48:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 746 flow
