2021-11-22 01:23:07 - /root/Documents/Panda/target/bin/detectors.csv does not exist
2021-11-22 01:23:36 - Pcap is listening...
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.110: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.135: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.139: 0
2021-11-22 01:23:43 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:23:44 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:23:44 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:23:44 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:23:44 - 137.135.83.217 - 192.168.1.134: 0
2021-11-22 01:23:46 - 140.82.112.5 - 192.168.1.49: 0
2021-11-22 01:23:46 - 192.168.1.49 - 140.82.112.5: 0
2021-11-22 01:23:46 - 137.135.83.217 - 192.168.1.122: 0
2021-11-22 01:23:53 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:23:53 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:23:53 - 137.135.83.217 - 192.168.1.126: 0
2021-11-22 01:23:53 - 137.135.83.217 - 192.168.1.127: 0
2021-11-22 01:23:53 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:24:00 - 192.168.1.49 - 72.21.81.200: 0
2021-11-22 01:24:00 - 137.135.83.217 - 192.168.1.186: 0
2021-11-22 01:24:00 - 192.168.1.49 - 72.21.81.200: 0
2021-11-22 01:24:00 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:24:00 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:24:11 - 192.168.1.49 - 72.21.81.200: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.148: 0
2021-11-22 01:24:11 - 192.168.1.49 - 24.240.146.7: 0
2021-11-22 01:24:11 - 24.240.146.7 - 192.168.1.49: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:24:11 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:24:12 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:24:16 - 137.135.83.217 - 192.168.1.147: 0
2021-11-22 01:24:16 - 137.135.83.217 - 192.168.1.118: 0
2021-11-22 01:24:25 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:24:25 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:24:25 - 137.135.83.217 - 192.168.1.126: 0
2021-11-22 01:24:25 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:24:26 - 192.168.1.49 - 24.240.146.7: 0
2021-11-22 01:24:26 - 24.240.146.7 - 192.168.1.49: 0
2021-11-22 01:24:29 - 137.135.83.217 - 192.168.1.125: 0
